,date,category,article title,compound score
1176,02/01/2018, Markets,"John Williams Promises Transparency as New York Fed Chief, Wells Fargo to Restructure Wealth Management Business , Beyoncé and Jay-Z Go Pay-to-Play With New Album , AT&T in Talks to Acquire AppNexus for About $1.6 Billion, Oracle’s Latest Investor Surprise: A New Revenue Reporting System, FedEx Reports Higher Profit as Express Business Rebounds , Conservative Group Will Push for Carbon Tax, a Contrast to GOP Resistance, Icahn Wins Majority on SandRidge Board, Trade Dispute Batters Global Markets, What Trade War? Skeptical Investors Convinced It’s a Negotiation , GE Drops Out of the Dow After More Than a Century, BOJ Funo Says Attention Needed on Downside Risks on Prices, Disney Sweetens Deal for Fox Assets, Topping Comcast Bid, Smith & Wesson Parent Company Sees Another Year of Falling Sales , Saudi Arabia’s Stock Exchange Boosted Ahead of Aramco IPO, Major Airlines Say No to Transporting Children Separated From Immigrant Parents , Cushman & Wakefield Files for IPO , Brazil Central Bank Leaves Selic Rate Unchanged ",0.7458
1194,03/01/2018, Markets,"These Stocks Have Left Amazon Behind This Year, Argentina to Join Emerging Markets Index By MSCI , UPS, Teamsters Reach Handshake Deal on New Contract, Asian Stocks End Ugly Week With China on the Edge of a Bear Market, ABC Plans Spinoff of ‘Roseanne’ Without Roseanne , Puma Gives Basketball Another Shot , Japan Consumer Prices Fail to Pick Up Speed in May, SEC Wants More Power to Get Funds Back for Bilked Investors, Big Banks Clear Fed’s Stress Tests, AmTrust Goes Private in $2.95 Billion Cash Deal, Kate Spade’s Father Dies at 89 , Netflix CEO Fires Top Executive After Use of Racial Slur , SEC Halts In-House Cases After Defeat at Supreme Court , Dow Suffers Biggest One-Week Loss Since March, SEC Probes Whether Firms Rounded Up Earnings Results, Big Media Firms Pay CEOs More for Less, CEO of Busted Subprime Lender Now Seeding Mortgage-Related Startups    , After Presiding Over Largest-Ever Bank Failure, CEO Turns To Foundation Work    , Stock Award to Xiaomi CEO Is One of  Largest Ever, BOJ June Opinion Summary Shows Growing Concern Over Side-Effects of Easing, Firms With Troubled Brokers Are Often Behind Sales of Private Stakes, Short of Workers, Restaurants Turn to Robots, Russian Lenders Need Western Money, Top Banker Says , GE Factories in Wisconsin, South Carolina Caught in U.S. Trade Fight, Trade Tit-for-Tat Takes Another Chunk Out of Asian Stocks, Yuan’s 2018 Gain Disappears as Dollar Rallies , Harley-Davidson to Shift Production Overseas to Offset EU Tariffs , U.S. Stocks Fall as Trade-War Fears Rattle Markets, Abraaj Founder Faces Arrest Warrant in U.A.E., When China, U.S. Fight Over Trade, European Stocks Get Hurt, GE Narrows Focus to Power, Aviation in Latest Revamp , One Asian Stock Market is Resisting the Trade War Selloff , Banks Failing Stress Tests? Not for Much Longer, Stocks Rise, Powered by Energy Sector, GE’s New Management Mantra: ‘Little or No Meetings’ , Price Tag for WWE Rights Deals Soars for TV Wrestling Shows , What a Summer Scorcher Means for Natural-Gas Prices , JPMorgan Reorganizes Its China Investment Bankers , T-Mobile, Sprint Bosses Defend Wireless Merger, Tariffs to Factor Into Bank of Canada’s Next Rate Decision , Madison Square Garden Owner to Explore Spinoff of Knicks, Rangers , Chipotle CEO Plans Broader Menu, Longer Hours ",-0.981
1236,04/01/2018, Business,"Conagra Deal for Pinnacle Reflects Faith in Hot Frozen-Foods Aisle , New Zealand’s Central Bank Leaves Interest Rates on Hold    , New York Attorney General Probes T-Mobile-Sprint Deal’s Impact on Prepaid Services , U.S. Stocks Retreat, Led by Tech Shares , Goldman Sachs, Morgan Stanley Dinged in Fed Stress Tests, Deutsche Bank Fails Fed’s Stress Test , Deloitte CEO’s Future in Question After Lack of Support, Gains in Technology, Financial Shares Help Lift Indexes, Bank of America Raising Dividend to 60 Cents a Share, China PBOC Governor Urges More Bank Lending to Small Business, Comcast Blames Widespread Service Outage on Cut Fiber Lines , Investors Vote to Oust Bed Bath & Beyond Director, Citibank Settles With Regulator Over Credit-Card Interest Rates , Pork Giant Loses Essential Legal Battle in Manure Case, CVC Fund to Buy Controlling Stake in Italian Pharma Firm Recordati, World’s Biggest Battery Proposed in California, Stocks Edge Higher During Momentary Pause in Trade Tensions, Kudlow Says White House Hopes Fed Will Raise Rates ‘Very Slowly’ , Chicken, Turkey and Tuna Have a Beef With Your Burger, Obama-Era Official Will Continue Litigation to Gain Control of CFPB, Dudley Suggests Tax Cuts Could Lead Fed to Raise Rates , Quarles: Fed to Propose More Transparent Bank Stress Tests, Highland Capital Used False Pretexts in Ousting of Portfolio Manager, Panel Finds, U.S. Tax Overhaul Raises Alarms Among Foreign Executives    ",0.1119
1260,05/01/2018, Markets,"U.S. Stocks End Lower but Recover From Sharp Drop, Mississippi Power Signs Deal on Customers’ Share of Troubled Plant, PayPal Says Personal Data May Be Compromised for 1.6 Million TIO Users , CFPB Interim Chief Mulvaney Taps Hensarling Aide for Senior Role, Obama-Era Official Will Continue Litigation to Gain Control of CFPB, Dudley Suggests Tax Cuts Could Lead Fed to Raise Rates , Quarles: Fed to Propose More Transparent Bank Stress Tests, Highland Capital Used False Pretexts in Ousting of Portfolio Manager, Panel Finds, U.S. Tax Overhaul Raises Alarms Among Foreign Executives    , U.S. Stocks End Lower but Recover From Sharp Drop, Mississippi Power Signs Deal on Customers’ Share of Troubled Plant, PayPal Says Personal Data May Be Compromised for 1.6 Million TIO Users , CFPB Interim Chief Mulvaney Taps Hensarling Aide for Senior Role, Obama-Era Official Will Continue Litigation to Gain Control of CFPB, Dudley Suggests Tax Cuts Could Lead Fed to Raise Rates , Quarles: Fed to Propose More Transparent Bank Stress Tests, Highland Capital Used False Pretexts in Ousting of Portfolio Manager, Panel Finds, U.S. Tax Overhaul Raises Alarms Among Foreign Executives    , U.S. Stocks End Lower but Recover From Sharp Drop, Mississippi Power Signs Deal on Customers’ Share of Troubled Plant, PayPal Says Personal Data May Be Compromised for 1.6 Million TIO Users , CFPB Interim Chief Mulvaney Taps Hensarling Aide for Senior Role, Obama-Era Official Will Continue Litigation to Gain Control of CFPB, Dudley Suggests Tax Cuts Could Lead Fed to Raise Rates , Quarles: Fed to Propose More Transparent Bank Stress Tests, Highland Capital Used False Pretexts in Ousting of Portfolio Manager, Panel Finds, U.S. Tax Overhaul Raises Alarms Among Foreign Executives    , U.S. Stocks End Lower but Recover From Sharp Drop, Mississippi Power Signs Deal on Customers’ Share of Troubled Plant, PayPal Says Personal Data May Be Compromised for 1.6 Million TIO Users , CFPB Interim Chief Mulvaney Taps Hensarling Aide for Senior Role, Obama-Era Official Will Continue Litigation to Gain Control of CFPB, Dudley Suggests Tax Cuts Could Lead Fed to Raise Rates , Quarles: Fed to Propose More Transparent Bank Stress Tests, Highland Capital Used False Pretexts in Ousting of Portfolio Manager, Panel Finds, U.S. Tax Overhaul Raises Alarms Among Foreign Executives    , U.S. Stocks End Lower but Recover From Sharp Drop, Mississippi Power Signs Deal on Customers’ Share of Troubled Plant, PayPal Says Personal Data May Be Compromised for 1.6 Million TIO Users , CFPB Interim Chief Mulvaney Taps Hensarling Aide for Senior Role, Visa Fires Top Executive Who Handled PayPal, Apple Partnerships     , Bitcoin Is the World’s Hottest Currency, but No One’s Using It , Tax Changes for Overseas Cash Could Ripple Through Markets , Supreme Court to Hear Arguments Over Sports-Betting Ban , Bookmakers Hope Odds Favor Them in Sports-Betting Case , Visa Fires Top Executive Who Handled PayPal, Apple Partnerships     , Bitcoin Is the World’s Hottest Currency, but No One’s Using It , Tax Changes for Overseas Cash Could Ripple Through Markets ",-0.9946
1308,06/01/2018, Business,"Supreme Court to Hear Arguments Over Sports-Betting Ban , Bookmakers Hope Odds Favor Them in Sports-Betting Case , Visa Fires Top Executive Who Handled PayPal, Apple Partnerships     , Bitcoin Is the World’s Hottest Currency, but No One’s Using It , Tax Changes for Overseas Cash Could Ripple Through Markets , Supreme Court to Hear Arguments Over Sports-Betting Ban , Bookmakers Hope Odds Favor Them in Sports-Betting Case , Visa Fires Top Executive Who Handled PayPal, Apple Partnerships     , Bitcoin Is the World’s Hottest Currency, but No One’s Using It , Tax Changes for Overseas Cash Could Ripple Through Markets , Supreme Court to Hear Arguments Over Sports-Betting Ban , Bookmakers Hope Odds Favor Them in Sports-Betting Case , Visa Fires Top Executive Who Handled PayPal, Apple Partnerships     , Bitcoin Is the World’s Hottest Currency, but No One’s Using It , Tax Changes for Overseas Cash Could Ripple Through Markets , Supreme Court to Hear Arguments Over Sports-Betting Ban , Bookmakers Hope Odds Favor Them in Sports-Betting Case , McKinsey Executive Barkin Expected to Lead Richmond Fed , Rio Tinto Names Simon Thompson as New Chairman , Pixar’s ‘Coco’ Remains at Top for Second Week, McKinsey Executive Barkin Expected to Lead Richmond Fed , Rio Tinto Names Simon Thompson as New Chairman , Pixar’s ‘Coco’ Remains at Top for Second Week, McKinsey Executive Barkin Expected to Lead Richmond Fed , Rio Tinto Names Simon Thompson as New Chairman , Pixar’s ‘Coco’ Remains at Top for Second Week, McKinsey Executive Barkin Expected to Lead Richmond Fed , Rio Tinto Names Simon Thompson as New Chairman , Pixar’s ‘Coco’ Remains at Top for Second Week, McKinsey Executive Barkin Expected to Lead Richmond Fed , Rio Tinto Names Simon Thompson as New Chairman , Pixar’s ‘Coco’ Remains at Top for Second Week, Australia’s RBA Leaves Interest Rates Unchanged, Chinese Online Lender Dianrong Eyes 2018 IPO, Could Raise at Least $500 Million, ‘House of Cards’ Will Return on Netflix, Without Spacey, Businesses Push to Repeal Corporate AMT ",0.9716
1344,07/01/2018, Business,"New CFPB Chief Curbs Data Collection, Citing Cybersecurity Worries, Dow Jumps on Senate Tax Bill, U.S. Government Bond Yields Rise on Tax Plan Progress, Australia’s RBA Leaves Interest Rates Unchanged, Chinese Online Lender Dianrong Eyes 2018 IPO, Could Raise at Least $500 Million, ‘House of Cards’ Will Return on Netflix, Without Spacey, Businesses Push to Repeal Corporate AMT , New CFPB Chief Curbs Data Collection, Citing Cybersecurity Worries, Dow Jumps on Senate Tax Bill, U.S. Government Bond Yields Rise on Tax Plan Progress, Australia’s RBA Leaves Interest Rates Unchanged, Chinese Online Lender Dianrong Eyes 2018 IPO, Could Raise at Least $500 Million, ‘House of Cards’ Will Return on Netflix, Without Spacey, Businesses Push to Repeal Corporate AMT , New CFPB Chief Curbs Data Collection, Citing Cybersecurity Worries, Dow Jumps on Senate Tax Bill, U.S. Government Bond Yields Rise on Tax Plan Progress, Australia’s RBA Leaves Interest Rates Unchanged, Chinese Online Lender Dianrong Eyes 2018 IPO, Could Raise at Least $500 Million, ‘House of Cards’ Will Return on Netflix, Without Spacey, Businesses Push to Repeal Corporate AMT , New CFPB Chief Curbs Data Collection, Citing Cybersecurity Worries, Dow Jumps on Senate Tax Bill, U.S. Government Bond Yields Rise on Tax Plan Progress",0.8402
1368,08/01/2018, Business,"Australia’s RBA Leaves Interest Rates Unchanged, Chinese Online Lender Dianrong Eyes 2018 IPO, Could Raise at Least $500 Million, ‘House of Cards’ Will Return on Netflix, Without Spacey, Businesses Push to Repeal Corporate AMT , New CFPB Chief Curbs Data Collection, Citing Cybersecurity Worries, Dow Jumps on Senate Tax Bill",0.0516
1374,09/01/2018, Business,"U.S. Government Bond Yields Rise on Tax Plan Progress, BOJ’s Masai Stresses Need to Watch Impacts of Easing, HNA Unit Scraps Share Sale, SEC Aims to Advance Nominees for Audit Regulator, JPMorgan, BofA Say Trading Revenue to Fall, Senate Panel Advances Bipartisan Plan for Eased Bank Oversight , BOJ’s Masai Stresses Need to Watch Impacts of Easing, HNA Unit Scraps Share Sale, SEC Aims to Advance Nominees for Audit Regulator, JPMorgan, BofA Say Trading Revenue to Fall, Senate Panel Advances Bipartisan Plan for Eased Bank Oversight , BOJ’s Masai Stresses Need to Watch Impacts of Easing, HNA Unit Scraps Share Sale, SEC Aims to Advance Nominees for Audit Regulator, JPMorgan, BofA Say Trading Revenue to Fall, Senate Panel Advances Bipartisan Plan for Eased Bank Oversight , BOJ’s Masai Stresses Need to Watch Impacts of Easing, HNA Unit Scraps Share Sale",0.8481
1392,10/01/2018, Financial Regulation,"SEC Aims to Advance Nominees for Audit Regulator, JPMorgan, BofA Say Trading Revenue to Fall, Senate Panel Advances Bipartisan Plan for Eased Bank Oversight , BOJ’s Masai Stresses Need to Watch Impacts of Easing, HNA Unit Scraps Share Sale, SEC Aims to Advance Nominees for Audit Regulator, JPMorgan, BofA Say Trading Revenue to Fall, Senate Panel Advances Bipartisan Plan for Eased Bank Oversight , Engine Trouble Grounds Some Air New Zealand Flights, Australia Banks on Bitcoin Tech to Keep Tabs on Stocks , Chinese Banks Face Potential Capital Shortfall, IMF Says, Ford to Move Electric Car Production to Mexico, Ernst & Young Promotes Kelly Grier to Run Its U.S. Business    , Traders Want to Know What Exchanges Earn From Market Data    , Iger Likely to Stay On as Disney CEO Past 2019 if Fox Deal Is Reached, Citigroup Faces $20 Billion Hit From Tax Overhaul, CoStar and Xceligent Near Legal Settlement Over Data-Theft Suit , U.S. Stocks Little Changed as Global Rally Stalls, VW Manager Sentenced to 7 Years in Emissions Fraud , Export-Import Bank Nominee Faces Crucial Senate Test, Engine Trouble Grounds Some Air New Zealand Flights, Australia Banks on Bitcoin Tech to Keep Tabs on Stocks , Chinese Banks Face Potential Capital Shortfall, IMF Says, Ford to Move Electric Car Production to Mexico, Ernst & Young Promotes Kelly Grier to Run Its U.S. Business    , Traders Want to Know What Exchanges Earn From Market Data    , Iger Likely to Stay On as Disney CEO Past 2019 if Fox Deal Is Reached, Citigroup Faces $20 Billion Hit From Tax Overhaul, CoStar and Xceligent Near Legal Settlement Over Data-Theft Suit , U.S. Stocks Little Changed as Global Rally Stalls",0.3612
1422,11/01/2018, Business,"VW Manager Sentenced to 7 Years in Emissions Fraud , Export-Import Bank Nominee Faces Crucial Senate Test, Engine Trouble Grounds Some Air New Zealand Flights, Australia Banks on Bitcoin Tech to Keep Tabs on Stocks , Chinese Banks Face Potential Capital Shortfall, IMF Says, Ford to Move Electric Car Production to Mexico, Ernst & Young Promotes Kelly Grier to Run Its U.S. Business    , Traders Want to Know What Exchanges Earn From Market Data    , Iger Likely to Stay On as Disney CEO Past 2019 if Fox Deal Is Reached, Citigroup Faces $20 Billion Hit From Tax Overhaul, CoStar and Xceligent Near Legal Settlement Over Data-Theft Suit , U.S. Stocks Little Changed as Global Rally Stalls, VW Manager Sentenced to 7 Years in Emissions Fraud , Export-Import Bank Nominee Faces Crucial Senate Test, Engine Trouble Grounds Some Air New Zealand Flights, Australia Banks on Bitcoin Tech to Keep Tabs on Stocks , Chinese Banks Face Potential Capital Shortfall, IMF Says, Ford to Move Electric Car Production to Mexico",-0.8625
1440,12/01/2018, Business,"Ernst & Young Promotes Kelly Grier to Run Its U.S. Business    , Traders Want to Know What Exchanges Earn From Market Data    , Iger Likely to Stay On as Disney CEO Past 2019 if Fox Deal Is Reached, Citigroup Faces $20 Billion Hit From Tax Overhaul, CoStar and Xceligent Near Legal Settlement Over Data-Theft Suit , U.S. Stocks Little Changed as Global Rally Stalls, VW Manager Sentenced to 7 Years in Emissions Fraud , Export-Import Bank Nominee Faces Crucial Senate Test, Engine Trouble Grounds Some Air New Zealand Flights, Australia Banks on Bitcoin Tech to Keep Tabs on Stocks , Chinese Banks Face Potential Capital Shortfall, IMF Says, Ford to Move Electric Car Production to Mexico, Ernst & Young Promotes Kelly Grier to Run Its U.S. Business    , Traders Want to Know What Exchanges Earn From Market Data    , Iger Likely to Stay On as Disney CEO Past 2019 if Fox Deal Is Reached, Citigroup Faces $20 Billion Hit From Tax Overhaul, CoStar and Xceligent Near Legal Settlement Over Data-Theft Suit , U.S. Stocks Little Changed as Global Rally Stalls, VW Manager Sentenced to 7 Years in Emissions Fraud , Export-Import Bank Nominee Faces Crucial Senate Test, World’s Largest Money-Market Fund Slows the Flow , Chairman of Berkshire Hathaway’s Marmon to Retire in 2018 , Caterpillar Unit Cheated Customers, Tossed Evidence Into Ocean to Hide It, Hackers Steal $70 Million in Bitcoin, U.S. Stocks Climb as Boeing, Industrial Shares Rise, Wall Street Banks Hit Pause Button on Bitcoin, Quick Hits: ECB QE Lowered Yields Up to 1.5 Percentage Points, Moody’s Says, World’s Largest Money-Market Fund Slows the Flow , Chairman of Berkshire Hathaway’s Marmon to Retire in 2018 , Caterpillar Unit Cheated Customers, Tossed Evidence Into Ocean to Hide It, Hackers Steal $70 Million in Bitcoin, U.S. Stocks Climb as Boeing, Industrial Shares Rise, Wall Street Banks Hit Pause Button on Bitcoin, Quick Hits: ECB QE Lowered Yields Up to 1.5 Percentage Points, Moody’s Says, World’s Largest Money-Market Fund Slows the Flow , Chairman of Berkshire Hathaway’s Marmon to Retire in 2018 , Caterpillar Unit Cheated Customers, Tossed Evidence Into Ocean to Hide It, Hackers Steal $70 Million in Bitcoin, U.S. Stocks Climb as Boeing, Industrial Shares Rise, Wall Street Banks Hit Pause Button on Bitcoin, Quick Hits: ECB QE Lowered Yields Up to 1.5 Percentage Points, Moody’s Says, World’s Largest Money-Market Fund Slows the Flow , Chairman of Berkshire Hathaway’s Marmon to Retire in 2018 , Caterpillar Unit Cheated Customers, Tossed Evidence Into Ocean to Hide It, Hackers Steal $70 Million in Bitcoin, U.S. Stocks Climb as Boeing, Industrial Shares Rise, Wall Street Banks Hit Pause Button on Bitcoin, Quick Hits: ECB QE Lowered Yields Up to 1.5 Percentage Points, Moody’s Says, World’s Largest Money-Market Fund Slows the Flow , Chairman of Berkshire Hathaway’s Marmon to Retire in 2018 , Caterpillar Unit Cheated Customers, Tossed Evidence Into Ocean to Hide It, Hackers Steal $70 Million in Bitcoin, U.S. Stocks Climb as Boeing, Industrial Shares Rise, Wall Street Banks Hit Pause Button on Bitcoin, Quick Hits: ECB QE Lowered Yields Up to 1.5 Percentage Points, Moody’s Says, Noble Energy Extends Deadline for Sale of Marcellus Venture Stake  , Jobs Data Lift Dow, S&P 500 to New Heights, Macy’s Executive Chairman Lundgren to Retire    , From Belgrade to Pinnacle of Washington’s Banking World, Noble Energy Extends Deadline for Sale of Marcellus Venture Stake  , Jobs Data Lift Dow, S&P 500 to New Heights, Macy’s Executive Chairman Lundgren to Retire    , From Belgrade to Pinnacle of Washington’s Banking World, Noble Energy Extends Deadline for Sale of Marcellus Venture Stake  , Jobs Data Lift Dow, S&P 500 to New Heights, Macy’s Executive Chairman Lundgren to Retire    , From Belgrade to Pinnacle of Washington’s Banking World, Noble Energy Extends Deadline for Sale of Marcellus Venture Stake  , Jobs Data Lift Dow, S&P 500 to New Heights, Macy’s Executive Chairman Lundgren to Retire    , From Belgrade to Pinnacle of Washington’s Banking World, Noble Energy Extends Deadline for Sale of Marcellus Venture Stake  , Jobs Data Lift Dow, S&P 500 to New Heights, Macy’s Executive Chairman Lundgren to Retire    , From Belgrade to Pinnacle of Washington’s Banking World, ‘It’s Garage Gold’: Luxe Cars Become Investment Vehicles in Persian Gulf, Retail Giant Steinhoff’s Share Rout Raises Scrutiny of Transactions, Why Bitcoin? Why Now?, ‘It’s Garage Gold’: Luxe Cars Become Investment Vehicles in Persian Gulf, Retail Giant Steinhoff’s Share Rout Raises Scrutiny of Transactions, Why Bitcoin? Why Now?, ‘It’s Garage Gold’: Luxe Cars Become Investment Vehicles in Persian Gulf, Retail Giant Steinhoff’s Share Rout Raises Scrutiny of Transactions, Why Bitcoin? Why Now?",-0.7319
1524,13/01/2018, Business,"‘It’s Garage Gold’: Luxe Cars Become Investment Vehicles in Persian Gulf, Retail Giant Steinhoff’s Share Rout Raises Scrutiny of Transactions, Why Bitcoin? Why Now?, ‘It’s Garage Gold’: Luxe Cars Become Investment Vehicles in Persian Gulf, Retail Giant Steinhoff’s Share Rout Raises Scrutiny of Transactions, Why Bitcoin? Why Now?, Hospital Giants in Talks to Create U.S.’s Largest Operator, ‘Coco’ Tops Box Office Again as ‘Star Wars’ Waits in Wings, Qatar, Britain Finalize Deal for 24 Jet Fighters, Hospital Giants in Talks to Create U.S.’s Largest Operator, ‘Coco’ Tops Box Office Again as ‘Star Wars’ Waits in Wings, Qatar, Britain Finalize Deal for 24 Jet Fighters, Hospital Giants in Talks to Create U.S.’s Largest Operator, ‘Coco’ Tops Box Office Again as ‘Star Wars’ Waits in Wings, Qatar, Britain Finalize Deal for 24 Jet Fighters, Hospital Giants in Talks to Create U.S.’s Largest Operator, ‘Coco’ Tops Box Office Again as ‘Star Wars’ Waits in Wings, Qatar, Britain Finalize Deal for 24 Jet Fighters, Hospital Giants in Talks to Create U.S.’s Largest Operator, ‘Coco’ Tops Box Office Again as ‘Star Wars’ Waits in Wings, Qatar, Britain Finalize Deal for 24 Jet Fighters, Individual Investors Face Steeper Tax Bill Under Senate Proposal, Passport Capital to Shut Flagship Hedge Fund , High-Tech Hedge Fund Hits Limits of Robot Stock Picking",0.9813
1548,14/01/2018, Business,"As the Fed Deliberates, Amazon Is Making Its Job More Difficult  , Who’s Afraid of Bitcoin? Futures Traders Going Short , Disney Deal for Fox Would End Era of the ‘Big Six’ Studios   , Icahn to Launch New Board Fight With Xerox, U.S. Stocks Rise, Quick Hits: ECB Reinvestments Seen Lasting Until 2020 at Least",-0.5709
1554,15/01/2018, Markets,"Individual Investors Face Steeper Tax Bill Under Senate Proposal, Passport Capital to Shut Flagship Hedge Fund , High-Tech Hedge Fund Hits Limits of Robot Stock Picking, As the Fed Deliberates, Amazon Is Making Its Job More Difficult  , Who’s Afraid of Bitcoin? Futures Traders Going Short , Disney Deal for Fox Would End Era of the ‘Big Six’ Studios   , Icahn to Launch New Board Fight With Xerox, U.S. Stocks Rise, Quick Hits: ECB Reinvestments Seen Lasting Until 2020 at Least, Individual Investors Face Steeper Tax Bill Under Senate Proposal, Passport Capital to Shut Flagship Hedge Fund , High-Tech Hedge Fund Hits Limits of Robot Stock Picking, As the Fed Deliberates, Amazon Is Making Its Job More Difficult  , Who’s Afraid of Bitcoin? Futures Traders Going Short , Disney Deal for Fox Would End Era of the ‘Big Six’ Studios   , Icahn to Launch New Board Fight With Xerox, U.S. Stocks Rise, Quick Hits: ECB Reinvestments Seen Lasting Until 2020 at Least, Individual Investors Face Steeper Tax Bill Under Senate Proposal, Passport Capital to Shut Flagship Hedge Fund , High-Tech Hedge Fund Hits Limits of Robot Stock Picking, As the Fed Deliberates, Amazon Is Making Its Job More Difficult  , Who’s Afraid of Bitcoin? Futures Traders Going Short , Disney Deal for Fox Would End Era of the ‘Big Six’ Studios   , Icahn to Launch New Board Fight With Xerox, U.S. Stocks Rise, Quick Hits: ECB Reinvestments Seen Lasting Until 2020 at Least, Individual Investors Face Steeper Tax Bill Under Senate Proposal, Passport Capital to Shut Flagship Hedge Fund , High-Tech Hedge Fund Hits Limits of Robot Stock Picking, As the Fed Deliberates, Amazon Is Making Its Job More Difficult  , Who’s Afraid of Bitcoin? Futures Traders Going Short , Disney Deal for Fox Would End Era of the ‘Big Six’ Studios   , Icahn to Launch New Board Fight With Xerox, U.S. Stocks Rise, Quick Hits: ECB Reinvestments Seen Lasting Until 2020 at Least, Bank Indonesia Is Expected to Stand Pat on Rates , Unibail Who? The French Mall Owner Is Buying Westfield for $15.7 Billion , The Force Behind Bitcoin’s Meteoric Rise: Millions of Asian Investors , Sluggish Inflation Could Slow Fed’s Plans for Raising Rates Next Year, Government Cleans House at Audit Regulator , 20% vs. 22%: The Tension Over Two Points in the Corporate Tax Rate , RBA Warns Bitcoin A Speculative Mania, New York Regulator’s Fintech-Charter Lawsuit Dismissed, Bank Indonesia Is Expected to Stand Pat on Rates , Unibail Who? The French Mall Owner Is Buying Westfield for $15.7 Billion , The Force Behind Bitcoin’s Meteoric Rise: Millions of Asian Investors , Sluggish Inflation Could Slow Fed’s Plans for Raising Rates Next Year, Government Cleans House at Audit Regulator , 20% vs. 22%: The Tension Over Two Points in the Corporate Tax Rate , RBA Warns Bitcoin A Speculative Mania, New York Regulator’s Fintech-Charter Lawsuit Dismissed, Bank Indonesia Is Expected to Stand Pat on Rates , Unibail Who? The French Mall Owner Is Buying Westfield for $15.7 Billion ",-0.9775
1608,16/01/2018, Markets,"The Force Behind Bitcoin’s Meteoric Rise: Millions of Asian Investors , Sluggish Inflation Could Slow Fed’s Plans for Raising Rates Next Year, Government Cleans House at Audit Regulator , 20% vs. 22%: The Tension Over Two Points in the Corporate Tax Rate , RBA Warns Bitcoin A Speculative Mania, New York Regulator’s Fintech-Charter Lawsuit Dismissed, Bank Indonesia Is Expected to Stand Pat on Rates , Unibail Who? The French Mall Owner Is Buying Westfield for $15.7 Billion , The Force Behind Bitcoin’s Meteoric Rise: Millions of Asian Investors , Sluggish Inflation Could Slow Fed’s Plans for Raising Rates Next Year, Government Cleans House at Audit Regulator , 20% vs. 22%: The Tension Over Two Points in the Corporate Tax Rate , RBA Warns Bitcoin A Speculative Mania, New York Regulator’s Fintech-Charter Lawsuit Dismissed, Bank Indonesia Is Expected to Stand Pat on Rates , Unibail Who? The French Mall Owner Is Buying Westfield for $15.7 Billion , The Force Behind Bitcoin’s Meteoric Rise: Millions of Asian Investors , Sluggish Inflation Could Slow Fed’s Plans for Raising Rates Next Year, Government Cleans House at Audit Regulator , 20% vs. 22%: The Tension Over Two Points in the Corporate Tax Rate , RBA Warns Bitcoin A Speculative Mania, New York Regulator’s Fintech-Charter Lawsuit Dismissed, Disney Finalizing Pact to Acquire Assets From 21st Century Fox, Fed Raises Rates, Sticks to Forecast for 2018 Increases, AT&T Reaches Contract With Union , Music-Streaming Giants Spotify and Tencent Music Swap Stakes, Takeaways From the Fed’s December Meeting, Wall Street Tells Frackers to Stop Counting Barrels, Start Making Profits   , Fed’s Brainard: Many Discouraged Workers Have Come Off Sidelines, As Other Markets Stall, Traders Rush Into Bitcoin Boom  , Dow Industrials Hit New High After Fed Rate Increase, Disney Finalizing Pact to Acquire Assets From 21st Century Fox, Fed Raises Rates, Sticks to Forecast for 2018 Increases, AT&T Reaches Contract With Union , Music-Streaming Giants Spotify and Tencent Music Swap Stakes, Takeaways From the Fed’s December Meeting, Wall Street Tells Frackers to Stop Counting Barrels, Start Making Profits   , Fed’s Brainard: Many Discouraged Workers Have Come Off Sidelines, As Other Markets Stall, Traders Rush Into Bitcoin Boom  , Dow Industrials Hit New High After Fed Rate Increase, Disney Finalizing Pact to Acquire Assets From 21st Century Fox, Fed Raises Rates, Sticks to Forecast for 2018 Increases",-0.9388
