Unnamed: 0,date,category,article title,compound score
82,19/12/2017,Markets,"Crazy town: Tiny fruit juice company soars on speculated move into bitcoin that likely isn't real, Investors bought stocks because of tax reform and will now 'sell the news': Wharton's Siegel, Infamous short-seller Andrew Left scrambling for ways to bet against bitcoin, Europe markets close lower despite optimism over US tax cuts; Dialog Semiconductor jumps 8%, Bitcoin plunges $1,000 in less than an hour, Bubbles appearing in markets from bitcoin to fine art, strategist says, Bitcoin is the 'most crowded' investment in the world, according to a widely followed investor survey, SEC suspends trading in Crypto Co., small cap that has surged as part of bitcoin mania",-0.7814
90,20/12/2017,Markets,"Cryptocurrencies still a 'wild west' after exchange's rocky rollout of trading in new coin, Bitcoin drops 10% as top cryptocurrency marketplace starts supporting rival bitcoin cash, The UK’s ‘answer to Warren Buffett’ says it’s time to get out of stocks and bonds, Big investment bank now sees slight gains for stocks, without much help from tax plan, Islamic finance is becoming so attractive that even non-Muslims want in, China does another policy U-turn and THAAD-linked South Korean stocks aren't taking it well, Europe markets close lower after US Senate passes tax bill; Steinhoff falls 35%, The late-stage equity bull market could explain a mania like bitcoin",0.795
99,21/12/2017,Markets,"'Bitcoin Jesus' says investors should be ready in case bitcoin falls out of favor, How the 'impact of technology’ could be radically reshaping the US bond markets, The SEC's crackdown on cryptocurrencies is about to get serious, former chairman says, Europe closes higher as investors digest US tax overhaul; Nokia rises on Huawei deal",0.5994
103,22/12/2017,Markets,"The stock rally is unfolding so fast investment banks are already raising their 2018 forecasts, Fundstrat's Tom Lee says he's a buyer of the bitcoin pullback, now sees more than 35% gains from here, FTSE closes lower in shortened session; Spanish banks fall as separatists win Catalonia election, Trading goes down at Coinbase, one of the biggest bitcoin marketplaces, for two hours amid price plunge, Bitcoin falls by more than $3,000, dropping through $13,000 mark, US-based equity funds post $22 billion of outflows, the largest withdrawals in 2017",0.6444
110,26/12/2017,Markets,"Bitcoin struggles to hold above $16,000; crypto marketplace Coinbase reports transaction delays, US stocks set to open mostly lower as Apple shares slide, Stocks close lower as Apple falls 2.5%; retail stocks climb, Bitcoin could hit $60,000 in 2018 but another crash is coming, says startup exec",-0.7096
115,27/12/2017,Markets,"While bitcoin falls, one cryptocurrency jumps 20% after new link to some Japanese credit card companies, European stocks close mixed; FTSE 100 hits record high, Stocks close mildly higher; utilities, real estate gain, Bitcoin 'doesn't pass the smell test,' says Massachusetts securities regulator",0.802
119,28/12/2017,Markets,"China may be a bigger worry for 2018, analysts say, Dow sets record close, tracking to end year with six full weeks of gains for the first time since 1954, European shares finish lower on light holiday trade, Bitcoin briefly falls 11% after South Korea moves to ban new cryptocurrency trading accounts, Rules to limit speculation in cryptocurrency trading are a good thing, says BitSpread",0.128
126,29/12/2017,Markets,"Pershing Square says it has reached an agreement to settle lawsuits related to Allergan, Bitcoin led the best-performing ETFs this year, Most of Europe closes lower on 2017's last trading day but FTSE hits record high, Stocks end lower as selling accelerates into the close; S&P still posts best year since 2013, Digital currency ripple soars nearly 56 percent, becomes second-largest cryptocurrency by market cap",0.6597
131,01/01/2018,Markets,"18 stocks that could rise 25% in 2018, Here are three key global themes set to dominate markets in 2018",-0.128
133,02/01/2018,Markets,"Markets testing the Fed as the dollar slumps, says analyst, A Merrill Lynch indicator that predicted last year's surge sees another 19% gain in 2018, Bitcoin could boost Japan's GDP, Nomura analysts say, 2018 will bring a disastrous geopolitical event that rivals the 2008 financial crisis, says foreign policy expert Ian Bremmer, CEO of soaring 'blockchain' stock sells about $870,000 worth of the shares, Bitcoin rises after report says early Facebook investor Peter Thiel is buying massive amounts, Europe stocks close mixed as investors monitor Iran protests; Steinhoff up 9%",-0.1779
140,03/01/2018,Markets,"Europe markets close higher as investors monitor sweeping reforms to EU financial sector laws, EU clearing houses given last-gasp MiFID reprieve, Trading firm’s stock spikes 20% after it says cryptocurrency boom has boosted profits, Digital currency stellar jumps 60% into sixth place by market capitalization",0.6597
144,04/01/2018,Markets,"Chinese social network’s stock jumps 47% after it says it’s raising money through cryptocurrency, Ripple co-founder is now richer than the Google founders on paper, One stock analyst's $10 trillion bull case for cryptocurrencies, UBS raises 2018 S&P 500 forecast three trading days into the year, now sees 18% surge, Merrill Lynch bans its clients, advisors from trading bitcoin-related investments, Investor who called last two major market crashes says bitcoin is a bubble, It's only a matter of time before China lifts crypto exchange ban, entrepreneur says, Another tiny digital coin leaps into the top 10 cryptocurrencies, Trump takes credit for Dow 25,000, says 'I guess our new number is 30,000', Why cheering on the stock market is risky for Trump, Europe stocks close higher on upbeat services growth; FTSE 100 hits record high, China tightens bond trading rules in deleveraging campaign: Sources",0.8271
156,05/01/2018,Markets,"Ethereum hits record high; bitcoin briefly climbs back above $17,000, Europe stocks end session higher as FTSE, Swiss index notch record highs, Cryptocurrency ripple briefly drops more than 11 percent, Investors face tough decisions over what to do with their portfolios in 2018, analysts say, White House says the stock market is cheap right now",-0.128
161,06/01/2018,Markets,Second-largest cryptocurrency ripple may have run ahead of itself,0
163,08/01/2018,Markets,"Europe stocks close higher; Germany in fresh coalition talks; Mothercare down 27%, Big banks may be cautious, but others will chase crypto volatility, expert says, Oprah Winfrey's Golden Globes speech sends Weight Watchers stock soaring",0.1154
166,09/01/2018,Finance,"Things are looking up for China's financial firms, UBS says, Fed's Kashkari: Biggest banks need to double current capital levels, Fund managers say bitcoin ETF proposals were withdrawn due to SEC concerns, European markets close higher amid upbeat economic data; Altice soars over 10%",0
170,10/01/2018,Finance,"Minneapolis Fed proposes massive regulation change for big banks, Now is not the time to sell stocks, JP Morgan strategist says, European markets close lower; banks rally 2%; Metrobank up 4.34%, Cantor CEO says it's blue skies for markets in 2018, thanks to tax reform, Three rate hikes by the Fed in 2018 would be problematic for markets, expert says",0.0857
176,11/01/2018,Markets,"Markets could weaken by mid-2018 amid tax reform's 'horrendous' timing, Morgan Stanley projects, China shunning US debt is ‘not relevant’ and will not happen, economist says, Europe markets close lower amid earnings and data; Pandora slumps nearly 11%",-0.8834
181,12/01/2018,Markets,"BlackRock CEO Larry Fink: Retirement savers even as old as 50 should mostly be in stocks, Stock funds rake in $24 billion in the first week of 2018, sixth-biggest inflow ever, Europe ends slightly higher, boosted by a strong Wall Street session; GKN rises 26%, BlackRock's Fink, who oversees $6 trillion, says he's still 'quite bullish' on stocks due to global growth, Wells Fargo earnings: $1.16 a share, vs $1.07 EPS estimate, RiverFront rotates some investments into international markets, strategist says",0.8839
189,15/01/2018,Markets,Europe ends under slight pressure as Carillion collapse weighs on sentiment; Metso drops 9.8%,-0.6258
191,16/01/2018,Markets,"Don't expect the back-end of the yield curve to climb much from here, UBS says, More than 200,000 sign petition in South Korea to stop government's crackdown on bitcoin 'happy dream', Billionaire Sam Zell sees 'irrational exuberance' in the stock market and holds mostly cash, Europe posts minor gains by the close, but commodity slump weighs, Ripple tumbles more than 40 percent to start 2018, Countries are 'specifically targeting' China with 'protectionism,' official says, US stock market is a bubble, but it may not burst for awhile, says sovereign wealth fund advisor",0.7615
202,17/01/2018,Markets,"Just one major cryptocurrency is gaining amid a market-wide sell-off, Bull market may find it hard to keep this momentum, but that doesn't mean it's over, Stocks are now in 'complete bitcoin territory,' asset manager says, China banking regulator chief warns 'black swan' event could threaten financial stability, Bitcoin and ethereum suffered massive drops, but many cryptocurrencies are faring even worse, Ripple co-founder loses $44 billion on paper during cryptocurrency crash, Digital currency plunge may be healthy for cryptocurrency market, Stock market optimism from pros reaches highest level in nearly 32 years, Europe closes slightly lower as corporate earnings weigh; Burberry tumbles 9.3%",-0.8238
211,18/01/2018,Markets,"'It's never safe to invest in bitcoin,' says Evercore analyst, Trump's consumer protection bureau has an odd budget request: Zero, Europe stocks close higher after Wall Street open; Geberit surges 6%, The Dow's 31% gain during Trump's first year is the best since FDR, Wells Fargo double charges online bill-pay customers, says it's working to correct the glitch, South Korea is considering shutting down all virtual currency exchanges, regulator says",0.5851
218,19/01/2018,Markets,"Staten Island-based 'CabbageTech' charged with bitcoin-related fraud after promising 300% returns in a week, SEC says it's worried about 'significant' issues with cryptocurrency ETF plans, European stocks close higher after euro zone, pan-European indexes hit multi-year highs, Volatility from a possible government shutdown is a good opportunity to invest, Albion strategist says, US stocks will likely run higher for another 11 years, Wall Street's Tom Lee says, New GOP tax law will boost corporate earnings at least 10%, says Merrill Lynch wealth manager, Trump's market cheerleading tweets could end up fueling a bubble, 10-year Treasury yield jumps to its highest level since 2014",0.8834
227,22/01/2018,Finance,"Reports on South Korea's cryptocurrency plans keep rolling out, but many remain upbeat, US stocks had a good first year under Trump, but overseas markets did better, Nearly $400 million lost, stolen from sales of new digital coins, Ernst & Young says, Europe closes mostly higher, boosted by uptick in telecoms, banks, oil; William Hill slumps 11.6%",0.5719
231,23/01/2018,Markets,"Bitcoin is now higher, reversing earlier losses that brought it below $10,000, South Korea to ban cryptocurrency traders from using anonymous bank accounts, European stocks close mostly higher on the back of positive earnings; Logitech up 8%, Exec from Gundlach's firm sees global growth pushing bond yields and commodities higher, Here's why one investor is way more comfortable with marijuana than bitcoin, Bitcoin tumbles below $10,000 and is now down 25% on the year",0.5413
238,24/01/2018,Markets,"Saudi Aramco will list in Hong Kong eventually, says the city's stock exchange chief, Europe stocks close lower as corporates deliver mixed bag of earnings; Macron speaks at Davos, Stellar jumps 20% after Stripe says it may add support for the digital coin, Investors have learned one key thing during this record-setting stock market advance: Ignore Trump's tweets, US cannabis companies look to Canada when going public",-0.25
243,25/01/2018,Markets,"Stock trading app Robinhood to launch bitcoin, ethereum trading in five states, Puerto Rico unveils revised fiscal plan: No debt service payments for the next 5 years, European stocks close lower as earnings, ECB decision take center stage, SEC devoting 'significant' portion of resources for catching cryptocurrency scams",0.0026
249,26/01/2018,Markets,"An indicator with a perfect track record just sent a 'powerful' sell signal, European stocks close higher on back of solid earnings; Trump speaks at Davos, People show huge interest in Robinhood Crypto, but skeptics worry it will just fuel the bubble, Wynn shares tumble 10% after reports of 'decades-long pattern of sexual misconduct' by CEO Steve Wynn, Japanese cryptocurrency exchange loses more than $500 million to hackers",0.1531
254,28/01/2018,Finance,Hacked Japanese cryptocurrency exchange to repay owners $425 million,-0.4019
255,29/01/2018,Finance,"Deutsche Bank defends $1.2 billion bonus pay, blames US tax overhaul for its annual loss, Metlife shares drop after postponing earnings release, Traditional market trends are broken and it’ll only get worse, strategist warns, January's rocket market rise doesn't mean the bull market is near its end, European stocks close lower amid earnings; Austria Microsystems surges 17%, Goldman Sachs sees 'high probability' of a stock market correction in the coming months, US regulators to fine UBS, Deutsche Bank, HSBC for 'spoofing' and manipulation: Sources, More than 1 million people sign up for early access to Robinhood's new crypto trading service, Chinese investors keep losing billions online. Here’s why., JP Morgan says Jamie Dimon will continue to serve as CEO for five more years",-0.8902
265,30/01/2018,Markets,"DoubleLine's Gundlach still betting on commodities, New cryptocurrency rules just came into effect in South Korea, SEC halts one of the largest 'ICOs' ever as it wades deeper into the murky world of cryptocurrency offerings, S&P 500 snaps its longest streak ever without back-to-back 0.5 percent declines, Facebook ban on bitcoin ads is the latest in a very bad day for cryptocurrencies, Bond expert predicts a ‘wall of buying’ in Treasurys will protect the stock market, European markets close lower; Swatch up 5%, Bitcoin drops 12%, falls below $10,000 amid broad cryptocurrency sell-off",-0.7902
274,31/01/2018,Markets,"Alan Greenspan says there are bubbles in both stocks and bonds, European markets close mixed; Capita falls 47% after profit warning; H&M down over 10%, There’s a risk of market turbulence, but it’s unlikely to hit until 2019, says Santander chairman, Expect to see commodities rise because the dollar will keep falling, analysts say, Square shares climb after the payments company launches bitcoin trading for most users, Traders are still expecting two to three rate hikes this year after Fed statement, The 9-year stock rally still has 'years left,' says one of Wall Street's most bullish strategists",0.1531
281,01/02/2018,Markets,"No bull market ahead for commodities, Wells Fargo says, Broadcom said to view Qualcomm earnings as concerning: Sources, CME Group's fourth-quarter profit soars on a $2.6 billion tax gain, Bitcoin drops below key $9,000 level on Coinbase, European stocks close lower on corporate earnings, Wall Street losses",0.296
287,02/02/2018,Markets,"Why haven't the markets been halted amid this plunge? They haven't fallen enough, European close lower; Deutsche Bank ends down more than 5 percent, The Bank of England could validate some long-awaited optimism for the UK economy, Chart analyst: Bet on at least an 8 percent pullback for stocks, A drop of more than 600 points in the Dow is very, very rare, P&G and these other Dow stocks go down the least when the market is in the grips of a sell-off, The violent market sell-off was pretty easy to spot and a long time coming, After the market's terrible day, the devil's in the quarter-point detail, Retail investors piling an 'enormous amount' of money into the market: TD Ameritrade CEO, Some investors are worried low volatility might be the start of a market crash. Here’s why, Stock market loses nearly $1 trillion on the week, As bitcoin gets cut in half and continues to dive, Wall Street's Tom Lee remains bullish",-0.7572
302,05/02/2018,Markets,"Bitcoin continues to tumble, briefly breaking below $6,000, Why the stock market plunged Monday, European markets close amid global sell-off, Here's a live look at trading in the Dow Jones industrial average futures, Behind the latest bitcoin plunge: A credit card ban and increased scrutiny from regulators, Texas takes the lead on states' cryptocurrency crackdowns, CEO of high-speed trading giant Virtu: Don't blame the computers for the Dow's huge plunge, More than $90 billion in value wiped out from the popular 'FANG' tech stocks, After Dow plunges, White House says it's focused on 'long-term economic fundamentals', Market sell-off is just ‘noise,’ fund manager says, Ray Dalio: Recent market declines are just 'minor corrections,' still lots of cash to buy the dip, Wall Street’s biggest bull isn't fazed by the massive selling, Obscure security linked to stock volatility plummets 80% after hours, sparking worries of bigger market effect, Now is the time to buy equities and the euro zone is looking good, says CIO, Cramer calls the stock market's nearly 1,600-point plunge a 'flash crash' — it just 'broke again', Wall Street vet Yardeni: Trump tax cuts will pull stocks out of their current tailspin, Dow futures pare losses after earlier pointing to a more than 1,200-point fall at the open, NYSE president: 'Nothing new under the sun' but a crush of selling caused the meltdown, Stock market loses more than $1 trillion in value in February, Blackstone COO Tony James: Stock market decline could reach 10 to 20 percent",0.5374
323,06/02/2018,Markets,"Market sell-off is an 'overdue and welcome' correction, top fund manager says, Icahn: The market will one day 'implode' because of these wacky funds using so much leverage, Malaysia and Singapore to establish a trading link between exchanges, Malaysian prime minister says, Cramer: This security going 'haywire' after hours is going to pressure the whole stock market on Tuesday, Something is clearly out of whack because the volatility index is surging like this is a crash...but it's not, Here’s how much the stock market would have to drop to wipe out Donald Trump’s stock rally, European stocks close sharply lower amid continued global sell-off, The US government is trying to get coordinated in its efforts to regulate bitcoin, Market's most popular volatility index is out of control, Bitcoin bounces back, briefly rises 12% above $7,700, Investment strategist: Here's what to buy during the dip, Buying stocks at the 3 worst times in the past 30 years still proved the best place to invest, Global stocks plunge as sell-off spreads around the world, Credit Suisse says it will end trading in the volatility security that's become the focus of this sell-off, Watch the Dow's crazy day unfold in this live shot from the New York Stock Exchange, Mnuchin: White House is monitoring the volatile markets, but they appear to be functioning normally, A ‘hammering’ is coming for Treasurys and stocks won’t like it, analyst warns, Mnuchin: Computerized trading 'definitely' helped drive this week's big market swings, BlackRock distances itself from products that have freaked out the market, Central banks were behind the complacency in markets, now investors are spooked: Economist, Buy now or stay clear? Here's what analysts are saying about the US sell-off, The ‘ferocious’ market sell-off was driven by algorithms, strategist says",0.8813
345,07/02/2018,Markets,"JP Morgan analyst Kolanovic: ‘The worst is over', European markets close higher after recent market turmoil; Stoxx up 2%, Here's what the market's wild day looked like in numbers, Credit Suisse defends controversial financial product at the center of the market turmoil, Bitcoin surges by more than $2,000 in just over a day, Most cryptocurrencies will crash to zero, Goldman Sachs says, World stocks claw back from two-month lows, but markets remain on edge, Markets are hoping wild volatility is over, but history suggests it's not, The bull market is in the process of topping out: Morgan Stanley global stocks chief",0.0476
354,08/02/2018,Markets,"Wynn Macau shares surge after Steve Wynn quits CEO role, Why haven't the markets been halted amid this drop? They haven't fallen enough, European markets close lower as tech stocks slump; DAX down 2.6%; BOE holds rates, BlackRock is reportedly raising $10 billion to start a Berkshire Hathaway-like venture, The stock market is officially in a correction... here's what usually happens next, These two Wall Street analysts nailed it, calling for a correction days before the plunge began, Minneapolis Fed President Neel Kashkari says bitcoin is for 'toy collectors', Younger investors are doing something unexpected during this plunge, they're remaining calm, The market's tanking: Here are the stocks leading the plunge, Bitcoin becomes just like everything else on Wall Street as correlation with stocks jumps to 2-year high, The stocks that are doing well in the face of the plunge: Tobacco and cereal",0.6843
365,09/02/2018,Markets,"Sen. Paul cites jittery markets and rising rates as reasons to block spending bill, US stock funds suffer record outflows of $23.9 billion, European stocks close lower amid global market turmoil; Amundi slips 6%, The market sell-off is only 'shocking' because investors got used to smooth sailing, AT&T CEO: I had dinner with a bunch of CEOs and we don't see the market correction changing our outlook, Fidelity is trying to save investors from blowing up their accounts in another wacky fund, Stock market value wiped out equals $2.5 trillion and counting..., Dow travels more than 22,000 points in one of the wildest weeks since the financial crisis, The analyst who called this correction sees one more 'panic' ahead before the bottom, The market may be swinging, but the last thing you should do is freak out: Wall Street trading coach",-0.9061
375,10/02/2018,Finance,"RBS nears financial crisis settlement with US, UK authorities: Sky News",-0.6249
376,11/02/2018,Markets,"Market drop is a 'welcome correction' for the IMF, says Christine Lagarde",0.2263
377,12/02/2018,Markets,"European stocks end sharply higher as global markets rebound, Apple, these other stocks have led this monster bounce from last week’s lows, Bridgewater investment chief sees new era of volatility, Sell-off could return by Wednesday as hot inflation data hits, trader says, The fastest stock market correction ever may not necessarily mean an equally speedy rebound",-0.2023
382,13/02/2018,Markets,"Europe stocks close in the red amid corporate earnings; miners outperform, 'Whistleblower' alleges manipulation in the VIX 'fear gauge,' urges regulators to investigate, US economy is an 'accident waiting to happen,' says Yale economist Stephen Roach, Dollar skids to a 5-month low against the yen as risk appetite returns to markets, Mark Cuban: 'There was blood in the street' — here's the way I'm hedging the market swings",-0.8934
387,14/02/2018,Markets,"David Tepper's hedge fund bets on T-Mobile, reduces stake in Southwest Airlines, Europe ends sharply higher amid earnings, as investors shake off US inflation data , Dan Loeb's Third Point takes 2 million share stake in Netflix, Boeing and these other Dow stocks outperform when inflation is running hotter, Moore Capital bought Wynn Resorts, other casino stocks before Steve Wynn resigned, Former CFTC commissioner: Whistleblower allegation about volatility index manipulation 'rings true', Litecoin jumps 30 percent as traders bet on more users, upcoming split into litecoin cash, Draghi faces an impossible task to weaken the euro — and he might not even try, Credit Suisse CEO on controversial volatility trades: 'It worked well for a long time until it didn't', This market is ‘nuts’ and ‘very similar’ to 2008, investment manager warns",-0.6103
398,15/02/2018,Markets,"Top stock-picking hedge funds love gaming, health care and media shares, Market correction? Just do what Warren Buffett does, says one investor, Soros' fund buys shares of cryptocurrency play Overstock.com, while dumping Facebook , Billionaire Blackstone CEO Steve Schwarzman: Inflation fears should not overshadow benefits of a stronger economy, US regulator warns of ‘pump-and-dump’ cryptocurrency frauds, Smith & Wesson's parent company closes higher after the Florida shooting, BlackRock bond guru: Treasury plan to borrow nearly $1 trillion will have a huge impact on markets, As Puerto Rico pushes forward with new fiscal plan, Tesla and others propose energy fixes, Europe holds onto gains at the close amid mixed earnings; Airbus soars 10.3%, Apple, Teva rip higher on Buffett's Berkshire investments",0.9219
410,16/02/2018,Markets,"European stocks close higher after strong earnings; Stoxx 600 up 1.1%, China's HNA Group trims stake in Deutsche Bank to around 8.8%, Indicted Russians used PayPal and cryptocurrency exchange accounts, Three tiny stocks with same CEO suspended by SEC for questionable cryptocurrency announcements, Russian stocks tumble on Mueller indictments",-0.25
416,17/02/2018,Markets,Worldpay and Visa are reversing duplicate transactions for Coinbase users,0
417,19/02/2018,Markets,"Bitcoin broke through $11,000 for the first time since January, European markets close lower amid light trading volumes; Reckitt Benckiser down 7.5%, 'No equity bear market but more corrections' seen by Citi strategists, Euronext CEO on volatility ETNs: We will probably miss opportunities, but make fewer mistakes",-0.3919
422,20/02/2018,Markets,"Europe finishes on a positive note amid strong earnings; HSBC shares fall 3%, Cryptofunds tap into Wall Street's talent pool",0.8979
427,21/02/2018,Markets,"One potential threat to the stock market may be playing out, European stocks swing to close higher; Glencore rises 5.7%, Bitcoin exchanges add tech to make transactions 20% cheaper, SEC charges former bitcoin exchange and its founder with fraud, Market sell-offs 'tend to happen in three waves' and the last one is coming, strategist warns, For the best returns on European equities, go local, expert says, Twitter, Snap will grow at the expense of Facebook, analyst predicts, Bahrain's sovereign fund in talks to invest in SoftBank's Vision Fund: CEO",-0.4019
438,22/02/2018,Markets,"Banking CEO who called volatility spike names the next markets danger spot, Markets are getting it wrong on rising inflation, economist warns, European Central Bank could revisit its monetary policy 'early this year,' minutes reveal, European markets recover losses by close; Barclays up over 4%, A high concentration of tech stocks in an index is a ‘danger sign,’ says analyst, State pensions and fund companies feel heat over their investments in gun makers",-0.9001
447,23/02/2018,Finance,"Here's the list of companies that have bailed on partnerships with the NRA , Dimon, other CEOs talk jobs and economic growth at private White House dinner with Trump, Europe markets close mixed amid corporate earnings; Valeo down 11%, Bank of America is worried about the threat of cryptocurrency to its business, Energy shares in Asia climb as oil prices hold onto gains following US inventory decline, Secretive Chinese bitcoin mining company may have made as much money as Nvidia last year",0.4019
453,24/02/2018,Finance,Lower tax rate fuels record profit for Buffett's Berkshire Hathaway,0.1779
454,26/02/2018,Markets,"Steve Wozniak says someone stole seven bitcoins from him, European markets close higher as focus shifts to data, politics; Anglo American up 3%, World's largest asset manager says get ready to 'stomach complete losses' in cryptocurrencies, Mexico slaps billionaire's steel company with fine for stock manipulation, What correction? Popular 'FAANG' stock portfolio is already back to new high, Bitcoin spikes $900 higher ",0.5719
462,27/02/2018,Markets,"European stocks close in the red amid earnings, Powell testimony; Sky surges 20.5%",0
465,28/02/2018,Markets,"Fed's Powell sends world stocks reeling to a five-day low to end a turbulent February, Struggling bitcoin will double by midyear, Wall Street's Tom Lee says, European stocks close lower on Powell’s comments; ITV down 7.6%",-0.7269
468,01/03/2018,Markets,"Overstock.com drops after revealing SEC investigation into cryptocurrency token sale, Europe finishes deep in the red amid mixed earnings, Powell testimony reaction, Tudor Jones says US will 'regret' the tax cut, Bitcoin edges lower, then pares some losses, after news that SEC is probing cryptocurrencies, Ex-Fed Chairman Alan Greenspan: 'We are in a bond market bubble' that's beginning to unwind",-0.8316
474,02/03/2018,Markets,"Chinese officials urge Trump not to abandon global trade order, SEC subpoenas TechCrunch founder's cryptofund amid broader investigation into digital coins, Forget tariffs, China's alleged intellectual property theft a bigger threat to market: Analyst, Europe tumbles by the close as Trump’s tariff announcement spooks investors",0.1043
479,03/03/2018,Markets,Use bitcoin to hedge fears of losses during a trade war: Bitcoin bull Brian Kelly,-0.8555
480,05/03/2018,Markets,"Europe ends on a high note despite Italy's political uncertainty; AXA sinks 9.7%, Cryptocurrency ripple jumps as traders speculate on Coinbase adding trading, The wealthy are using pawn shops to finance their business ideas",0.5478
484,06/03/2018,Markets,"Coinbase's bitcoin cash trading rollout cost investors $5 million, lawsuit says, Early internet investor Tim Draper predicts in five years we'll only be using cryptocurrencies to pay, Stocks are set to tank after Wall Street-friendly Cohn resigns, Canadian marijuana company's Nasdaq listing bodes well for the industry, but US companies still face barriers, Amazon could become the third-biggest US bank if it wants to: Bain study, Europe ends slightly higher despite Italy uncertainty, US tariff concerns, Bitcoin exchange Coinbase launches the 'Dow' of cryptocurrencies",0.4318
